Code_Review_Message,Is_Toxic
"Yuck. Use %.70s, which will do this more gracefully",1
"In the future, we should look into seeing if we make this a little cleaner instead of a crap load of info() lines.",1
lazy-lazy =),1
"yeah that sucked, fixed
 
 Done.",1
LOL you called my decorator stupid...=),1
"This line is super horrible and needs to die! Please do something like:
  
  attempts = 1
  if retries >= 1:
  attempts = retries + 1
 
 or something along those lines.
 
 also - a test would be nice (there are already tests that test some cases of this so just add another one in test_compute_mgr.py",1
Might be cleaner to write an OCP that wraps this and prunes out the downloads... I know that's a lot more code/sucks but that's probably the cleanest way?  Can you just put this in the factory?  Or put it at each client?,1
"ooh, burn!",1
"Yes, and ... crap.",1
stupid style nit - list comprehension is slightly nicer.,1
"that english language stuff always confused the hell out of me....yep, I kept wordsmithing this line and still didn't like it.",1
doh. its awful! it should not be our work...,1
"ah, shit. will fix.",1
"#ifdef CONFIG_PM_RUNTIME

if you are feeling very anal about saving 1 byte...",1
"Holy cow, when does this happen? Just tests? Any actual WSGI server that does this is horribly broken.",1
much better (that acoles is pretty darn good huh...),1
"Chris, just a question about 'intrusive', how can I understand it? Why it sucks.",1
Damn! Thought I'd gotten rid of it everywhere. New patch incoming,1
"damn, and I thought I had gotten it right :P",1
"Oh, yes, it was inconsistent already. I just copy pasted the previous code. Silly me.",1
"Basically:
 
 if self.microversion and 'X-OpenStack-Nova-API-Version' in headers and headers['X-OpenStack-Nova-API-Version'] != self.microversion:
  self.fail('bad test setup i hate you so much')
 
 And:
 
 if not self.microversion and 'X-OpenStack-Nova-API-Version' in headers:
  self.fail('oh you dirty bastard')",1
"I think this solution is braindead also, like the previous one. Can we try to ass the null.? Anyway, +2 because safe.",1
Damn!,1
"The caching is only necessary for the performance benefit of not needing to do that service query from the DB every time we get an instance, which doubles the traffic to the DB on every instance query, which kind of sucks.
 
 Agree with leaving the caching in, that was my point with removing the TODO so we don't forget about this.",1
"damnit, I hate it when I forget to save the file before I commit ;-)

yes they were notes as I was coding the C file

Done.",1
Damn. I thought I'd removed those. Sorry.,1
"Ah yes, I remember this damm mess now. Unfortunately some of the task code needs a conductor. Seems silly to do that over rpc just for dependency reasons.",1
"Is this still used anywhere?
 
 (later)
 
 Looks like still used in nova.tests.unit.test_service, so I guess we can't remove it. Damn.",1
"you can. some people prefer reinterpret_cast because it shouts ""danger! crappy type-unsafe C API here!"". others prefer static_cast because it's the weakest cast that will still work. i'll +2 either (but tend to use reinterpret_cast personally; i've never seen anyone make the mistakes that static_cast would prevent in this specific circumstance).",1
remove the tabs please - spaces only - the change makes this review a bitch to read and doesn't match the existing formatting.,1
"Damn, forgot to delete this after the code changed during review... well, better to leave it here than to get inconsistent with ToT now I guess.",1
Damn! Thought I caught all those! Thanks.,1
"rather than creating this useless structure, just pass the size in the kmem_cache_create in the _probe function ?

but yeh that's not important, a dirty patch should be dirty....",1
Crap. Sorry about that. Done.,1
Damn grammar :-P,1
How the heck did that get in there? Done....,1
"might want to inject a pause here prior to the reboot; depends on how fast it cycles (getting a ""go do this"" message when the window is 1s sucks)",1
This'll crap out if the search fails,1
"It doesn't relate to your patch, but please, remove this dots. It sucks and unreadable! Also, If this module will be moved in future, everything will break.
 I prefer to use this simple code:
 
  import rally
  lookup_dirs = [templates_dir, os.path.dirname(rally)]",1
"Agree with Alexander, here is where separate validators suck - you may easily not notice the same work is done twice.",1
"Does this mean that if the header is corrupt, we're screwed?",1
"The optimizer should usually be able to make this not suck, but thread.name.assign() is more direct.",1
"hmmmm...that is a good reason to keep mountpoint around. Which kind of sucks. Also, mountpoint is optional from Nova's standpoint, so we probably shouldn't just raise and fail, unless it's a multi-attach to the same instance (the knucklehead case), which means more checks for that case.
 I vote we just dis-allow that...",1
"Wtf why did you change "" to ' when we are changing everywhere ' to """,1
"I think it would be nice if we have more than one choice there, like
 
 if [[ ""$users_agree"" == ""y"" ]] || [[ ""$users_agree"" == ""Y"" ]] || [[ ""$users_agree"" == ""yes"" ]];
 
 I personally hate this situations when I press 'y' and application tell me 'wrong choice, man, bye-bye. In next time you should write full ""yes"", you moron'.",1
actually C enums don't really check IIRC and never have. You can assign a bogus value. They're not that useful. I'm happy to get rid of this crap however.,1
"No, indent(1) is dumb. Fixed.",1
Are we not going to assume error 401 or anything (that I got bitched about with the amphora API proposal still in the review pipeline)?,1
"darn. you right. :)
 
 peer programming works! or sileht programming works.",1
"Ok, fair enough.
 
 Just seems like it could be used outside openstack (and if later we have to rename it so that it's more obvious it can be used outside, that sorta sucks to have to go through that process).",1
I got rid of all the LDAP specific nonsense,1
"you're right, it looked clumsy when I did it the other way but I think it's the right way. I'll fix it.",1
"I disagree. In this instance it is an instance that we have partially created, and that the user has no knowledge of its existence. We should not leave half created turds lying around. However, you have drawn attention to that fact that we are eating an exception, which we should not be doing.",1
damn.. I missed that one. Thanks,1
"Oh, yeah, what a crap.  Maybe use this cleanup commit to finally get rid of that odd --language handling for good.",1
